corporate_identification_number,company_name,year,paidup_capital,check,rank
U74140MH2000PLC128405,RELOGISTICS INFRASTRUCTURE LIMITED,2000,2101913000,yes,1
U85110KA2000PLC026939,NANDI ECONOMIC CORRIDOR ENTERPRISESLIMITED.,2000,2090466920,yes,2
L72200MH2000PLC130073,MW UNITEXX LIMITED,2000,2087292760,yes,3
L85110KA2000PLC027497,NARAYANA HRUDAYALAYA LIMITED,2000,2043608040,yes,4
U45200DL2000PLC151199,PIPAVAV RAILWAY CORPORATION LIMITED,2000,1960000200,yes,5
U74210PN2004PTC140101,EON HADAPSAR INFRASTRUCTURE PRIVATELIMITED,2004,2131500000,yes,1
U74140KA2004PTC034016,SANYO BPL PRIVATE LIMITED,2004,2089333780,yes,2
U45200TG2004PLC043015,GKC PROJECTS LIMITED,2004,2050787020,yes,3
U28910MH2004PLC207333,FIRST FORGE LIMITED,2004,2033333330,yes,4
U51909MH2004PLC145478,FIRESTAR INTERNATIONAL LIMITED,2004,1946501420,yes,5
U29221KA2008PTC045987,BOSCH AUTOMOTIVE ELECTRONICS INDIAPRIVATE LIMITED,2008,2130769230,yes,1
L55101KA2008PLC046866,COFFEE DAY ENTERPRISES LIMITED,2008,2112517190,yes,2
U34102TN2008PLC067838,ASHLEY POWERTRAIN LIMITED,2008,2091004190,yes,3
U72900KL2008SGC021779,KERALA STATE INFORMATION TECHNOLOGYINFRASTRUCTURE LIMITED,2008,2049592000,yes,4
U45203MH2008PLC185941,RAJAHMUNDRY GODAVARI BRIDGE LIMITED,2008,2039589000,yes,5
U74900HR2012PTC048540,NACHI TECHNOLOGY INDIA PRIVATE LIMITED,2012,2100000000,yes,1
U40300TN2012PTC087744,HEXA INDUSTRIES PRIVATE LIMITED,2012,2091810000,yes,2
U40108TG2012PTC081503,MYTRAH VAYU (MANJIRA) PRIVATE LIMITED,2012,2084506870,yes,3
U15122MH2012PLC230786,SAHARA PURE EATABLES CORPORATION LIMITED,2012,2050500000,yes,4
U17120KA2012FTC063157,SEIREN INDIA PRIVATE LIMITED,2012,2050000000,yes,5
U45200MH2016PLC286895,CG TOLLWAY LIMITED,2016,2035000000,yes,1
U29292PN2016PTC157848,ILJIN GLOBAL INDIA PRIVATE LIMITED,2016,2018850000,yes,2
U75100MP2016SGC035528,INDORE SMART CITY DEVELOPMENT LIMITED,2016,2000000000,yes,3
U24200MH2016PTC273511,JSW PAINTS PRIVATE LIMITED,2016,2000000000,yes,3
U75100MP2016SGC035536,JABALPUR SMART CITY LIMITED,2016,2000000000,yes,3
U65990MH2016PTC271587,INDOSTAR HOME FINANCE PRIVATE LIMITED,2016,2000000000,yes,3
U75100MP2016SGC041727,GWALIOR SMART CITY DEVELOPMENTCORPORATION LIMITED,2016,2000000000,yes,3
U70100MP2016SGC035540,BHOPAL SMART CITY DEVELOPMENTCORPORATION LIMITED,2016,2000000000,yes,3
U75100MP2016SGC041772,UJJAIN SMART CITY LIMITED,2016,2000000000,yes,3
U70102AP2016PLC098447,KAKINADA SMART CITY CORPORATION LIMITED,2016,2000000000,yes,3
U75140KL2016SGC040388,COCHIN SMART MISSION LIMITED,2016,2000000000,yes,3
U74140GJ2016PLC086577,SMART CITY AHMEDABAD DEVELOPMENT LIMITED,2016,2000000000,yes,3
U75144RJ2016SGC049590,JAIPUR SMART CITY LIMITED,2016,2000000000,yes,3
U74900AP2016PLC098495,GREATER VISAKHAPATNAM SMART CITYCORPORATION LIMITED,2016,2000000000,yes,3
U75144RJ2016SGC049591,UDAIPUR SMART CITY LIMITED,2016,2000000000,yes,3
U74999GJ2016PLC091579,SURAT SMART CITY DEVELOPMENT LIMITED,2016,2000000000,yes,3
U75232RJ2016SGC056440,KOTA SMART CITY LIMITED,2016,2000000000,yes,3
U74999KA2016PLC093099,BELAGAVI SMART CITY LIMITED,2016,2000000000,yes,3
U74999KA2016PLC093411,DAVANAGERE SMART CITY LIMITED,2016,2000000000,yes,3
U74999MH2016SGC283173,NAGPUR SMART AND SUSTAINABLE CITYDEVELOPMENT CORPORATION LIMITED,2016,2000000000,yes,3
U65922MH2016PLC273826,CENTRUM HOUSING FINANCE LIMITED,2016,1982177860,yes,4
U93000PN2016SGC158980,PUNE SMART CITY DEVELOPMENT CORPORATIONLIMITED,2016,1960000000,yes,5
U31900HR2020FTC084891,ATLBATTERY TECHNOLOGY (INDIA) PRIVATELIMITED,2020,1793500000,yes,1
U45201UR2020PTC010677,BHARAT CONSTRUCTIONS (INDIA) PRIVATELIMITED,2020,762674880,yes,2
U51909PN2020FTC189452,HENGLI HYDRAULIC INDIA PRIVATE LIMITED,2020,560000000,yes,3
U17299HR2020FTC084712,XIYIN INDIA PRIVATE LIMITED,2020,360000000,yes,4
U72900MH2020FTC336828,MUFG ENTERPRISE SOLUTIONS INDIA PRIVATELIMITED,2020,312000000,yes,5
