paidup_capital,decade,corporate_identification_number,company_name
2000,1850 - 1859,U74999RJ1857PLC000649,JHUNJHUNU COMMERCIAL COMPANY LIMITED
139543800,1860 - 1869,L99999MH1863PLC000002,BOMBAY BURMAH TRADING CORPORATIONLIMITED
559000000,1870 - 1879,L17120MH1871PLC000005,PENINSULA LAND LIMITED
186746315,1880 - 1889,L74899DL1889PLC000004,D C M LIMITED
1116900000,1890 - 1899,L17120MH1897PLC000163,CENTURY TEXTILES AND INDUSTRIES LIMITED
1189258445,1900 - 1909,L74999MH1902PLC000183,THE INDIAN HOTELS COMPANY LIMITED
1598641438,1910 - 1919,L65110TN1916PLC001295,THE KARUR VYSYA BANK LIMITED
1809722151,1920 - 1929,L65191KL1929PLC001017,THE SOUTH INDIAN BANK LIMITED
1986166600,1930 - 1939,U70104MH1935PLC002249,SHREENIWAS COTTON MILLS LIMITED
2096066470,1940 - 1949,L17117PB1946PLC004565,J C T LIMITED
1628285140,1950 - 1959,U26942ML1955SGC001056,MAWMLUH-CHERRA CEMENTS LTD
2128317485,1960 - 1969,L24231PB1961PLC003747,RANBAXY LABORATORIES LTD
2035518100,1970 - 1979,U74999KL1972SGC002450,KERALA STATE ELECTRONICS DEVELOPMENTCORPORATION LIMITED
2146500000,1980 - 1989,U45201PN1987PTC044221,AVINASH BHOSALE INFRASTRUCTURE PVT LTD
2142858680,1990 - 1999,U74899MH1996PTC256828,SONY DADC MANUFACTURING INDIA PRIVATELIMITED
2146035840,2000 - 2009,U65900MH2007FTC173079,BOI AXA INVESTMENT MANAGERS PRIVATELIMITED
2145926750,2010 - 2019,U40105DL2018PTC337544,SBESS SERVICES PROJECTCO TWO PRIVATELIMITED
1793500000,2020 - 2029,U31900HR2020FTC084891,ATLBATTERY TECHNOLOGY (INDIA) PRIVATELIMITED
0,invalid_year,U99999MH5600PLC000113,WHITTLE SPINNING AND MANUFACTURING COMPANY LIMITED ( 1893)
0,invalid_year,U99999MP9076PTC326481,958U INFOTECH PRIVATE LIMITED
