registered_state,year,no_of_companies,rank
Andaman and Nicobar Islands,2017,55,1
Andhra Pradesh,2019,2942,1
Arunachal Pradesh,2018,36,1
Assam,2010,821,1
Bihar,2019,4403,1
Chandigarh,2012,812,1
Chattisgarh,2019,827,1
Dadra and Nagra Haveli,2007,45,1
Daman and Diu,1994,23,1
Delhi,2011,17132,1
Goa,2006,635,1
Gujarat,2019,5787,1
Haryana,2019,6298,1
Himachal Pradesh,2019,471,1
Jammu and Kashmir,2019,532,1
Jharkhand,2019,1500,1
Karnataka,2019,11141,1
Kerala,2019,4825,1
Lakshadweep,2009,4,1
Madhya Pradesh,2019,3087,1
Maharashtra,2019,23729,1
Manipur,2019,223,1
Meghalaya,2008,57,1
Mizoram,2019,30,1
Nagaland,1983,39,1
Orissa,2019,2205,1
Pondicherry,2009,153,1
Punjab,2019,1564,1
Rajasthan,2019,3975,1
Sikkim,2016,2,1
Tamil Nadu,2019,8627,1
Telangana,2019,8620,1
Tripura,2019,120,1
Uttar Pradesh,2019,12925,1
Uttaranchal,2019,1224,1
West Bengal,2012,17791,1
