registered_state,company_class,no_of_companies,rank
Andaman and Nicobar Islands,Private,460,1
Andhra Pradesh,Private,30538,1
Arunachal Pradesh,Private,582,1
Assam,Private,10816,1
Bihar,Private,32176,1
Chandigarh,Private,13248,1
Chattisgarh,Private,9835,1
Dadra and Nagra Haveli,Private,442,1
Daman and Diu,Private,318,1
Delhi,Private,322131,1
Goa,Private,8421,1
Gujarat,Private,95834,1
Haryana,Private,47457,1
Himachal Pradesh,Private,5896,1
Jammu and Kashmir,Private,5430,1
Jharkhand,Private,13899,1
Karnataka,Private,117309,1
Kerala,Private,51449,1
Lakshadweep,Private,17,1
Madhya Pradesh,Private,37677,1
Maharashtra,Private,359291,1
Manipur,Private,884,1
Meghalaya,Private,911,1
Mizoram,Private,149,1
Nagaland,Private,560,1
Orissa,Private,24337,1
Pondicherry,Private,3137,1
Punjab,Private,28834,1
Rajasthan,Private,56995,1
Sikkim,Private,2,1
Tamil Nadu,Private,137173,1
Telangana,Private,103757,1
Tripura,Private,551,1
Uttar Pradesh,Private,103957,1
Uttaranchal,Private,8021,1
West Bengal,Private,186770,1
